m,n,block_size_x,block_size_y,cpu_time_allocating,time_allocating,speedup_time_allocating,cpu_time_compute,time_compute,speedup_time_compute,cpu_time_calc_averages,time_calc_averages,speedup_time_calc_averages
2048,2048,256,256,0.021000,0.000736,28.532608,1089.465942,2.338368,465.908691,3.453000,0.002880,1198.958374
4096,4096,256,256,0.032000,0.001568,20.408165,4371.134766,2.342848,1865.735474,13.972000,0.004096,3411.132812
8192,8192,256,256,0.024000,0.001536,15.625000,17693.255859,2.340256,7560.393555,55.963001,0.002784,20101.652344
512,512,512,512,0.012000,0.004096,2.929688,57.789001,2.350560,24.585207,0.212000,0.003584,59.151783
1024,1024,512,512,0.022000,0.001344,16.369047,274.625000,2.340576,117.332230,0.861000,0.002592,332.175934
2048,2048,512,512,0.021000,0.002048,10.253906,1180.921997,2.333504,506.072418,3.464000,0.004096,845.703125
4096,4096,512,512,0.025000,0.001760,14.204546,4793.328125,2.337696,2050.449707,24.495001,0.002496,9813.702148
8192,8192,512,512,0.022000,0.000672,32.738094,17887.248047,2.348800,7615.483887,55.931999,0.003584,15606.026367
1024,1024,1024,1024,0.019000,0.001984,9.576612,273.164001,2.342432,116.615555,0.863000,0.003552,242.961700
2048,2048,1024,1024,0.020000,0.000928,21.551723,1091.286011,2.345472,465.273499,3.471000,0.004096,847.412109
4096,4096,1024,1024,0.022000,0.001664,13.221154,4365.660156,2.334624,1869.962769,13.864000,0.002944,4709.239258
8192,8192,1024,1024,0.023000,0.002048,11.230469,17650.031250,2.335968,7555.767578,55.761002,0.002688,20744.419922
2048,2048,2048,2048,0.020000,0.001920,10.416667,1086.667969,2.335360,465.310669,3.496000,0.002528,1382.911499
4096,4096,2048,2048,0.022000,0.002048,10.742188,4497.086914,2.336640,1924.595581,14.272000,0.003776,3779.660889
8192,8192,2048,2048,0.030000,0.001568,19.132654,17945.658203,2.343904,7656.311035,55.952000,0.003808,14693.277344
4096,4096,4096,4096,0.021000,2.344960,0.008955,4367.708984,2.336448,1869.380005,13.877000,0.003872,3583.936035
8192,8192,4096,4096,0.020000,0.001632,12.254902,17895.843750,2.340512,7646.123535,55.743999,0.003520,15836.363281
8192,8192,8192,8192,0.021000,0.001824,11.513158,18018.828125,2.344768,7684.695312,55.508999,0.003040,18259.539062
